density	noise_sigma	noise_seed	method	junction	incoming_row	outgoing_col	global_entry	truth	estimate	abs_error
dense	0.01	2	esmda	1	3	1	9	0.42	0.1910536378	0.2289463622
dense	0.01	2	esmda	1	3	2	10	0.24	0.2936134339	0.05361343387
dense	0.01	2	esmda	1	3	3	11	0.08	0.1039280202	0.02392802018
dense	0.01	2	esmda	1	3	4	12	0.26	0.4114049082	0.1514049082
dense	0.01	2	esmda	1	4	1	13	0.2	0.1058497779	0.0941502221
dense	0.01	2	esmda	1	4	2	14	0.46	0.3973094662	0.06269053375
dense	0.01	2	esmda	1	4	3	15	0.24	0.222150824	0.01784917595
dense	0.01	2	esmda	1	4	4	16	0.1	0.2746899318	0.1746899318
dense	0.01	2	esmda	2	1	1	17	0.18	0.1382568128	0.04174318718
dense	0.01	2	esmda	2	1	2	18	0.08	0.1204900374	0.04049003744
dense	0.01	2	esmda	2	1	3	19	0.16	0.3952959838	0.2352959838
dense	0.01	2	esmda	2	1	4	20	0.58	0.3459571659	0.2340428341
dense	0.01	2	esmda	2	2	1	21	0.14	0.1159125018	0.02408749824
dense	0.01	2	esmda	2	2	2	22	0.1	0.2038325297	0.1038325297
dense	0.01	2	esmda	2	2	3	23	0.56	0.3410959595	0.2189040405
dense	0.01	2	esmda	2	2	4	24	0.2	0.339159009	0.139159009
dense	0.01	2	esmda	2	3	1	25	0.48	0.4788095576	0.001190442423
dense	0.01	2	esmda	2	3	2	26	0.2	0.07158432713	0.1284156729
dense	0.01	2	esmda	2	3	3	27	0.08	0.2008781702	0.1208781702
dense	0.01	2	esmda	2	3	4	28	0.24	0.2487279451	0.008727945096
dense	0.01	2	esmda	2	4	1	29	0.18	0.2694488219	0.08944882189
dense	0.01	2	esmda	2	4	2	30	0.42	0.3477580956	0.07224190441
dense	0.01	2	esmda	2	4	3	31	0.3	0.2109222628	0.0890777372
dense	0.01	2	esmda	2	4	4	32	0.1	0.1718708197	0.07187081971
dense	0.01	2	esmda	3	1	1	33	0.16	0.2859748793	0.1259748793
dense	0.01	2	esmda	3	1	2	34	0.18	0.3632370146	0.1832370146
dense	0.01	2	esmda	3	1	3	35	0.42	0.1728480001	0.2471519999
dense	0.01	2	esmda	3	1	4	36	0.24	0.177940106	0.06205989396
dense	0.01	2	esmda	3	2	1	37	0.1	0.4232446792	0.3232446792
dense	0.01	2	esmda	3	2	2	38	0.22	0.2310435682	0.01104356817
dense	0.01	2	esmda	3	2	3	39	0.18	0.2080244954	0.02802449541
dense	0.01	2	esmda	3	2	4	40	0.5	0.1376872572	0.3623127428
dense	0.01	2	esmda	3	3	1	41	0.44	0.2951790122	0.1448209878
dense	0.01	2	esmda	3	3	2	42	0.18	0.2926573116	0.1126573116
dense	0.01	2	esmda	3	3	3	43	0.1	0.1214550093	0.02145500927
