row_label	junction	incoming_row	source_road	source_observed	row_tv_error	observed_road	observed_road_role	observed_road_is_source	observed_road_is_target	post_fit_normalized_rmse	swap_fit_normalized_rmse	fit_normalized_improvement	post_truth_rmse	swap_truth_rmse	truth_rmse_improvement	swap_visibility_normalized
J4 row 3	4	3	21	true	0.2292113581	2	incoming	false	false	1.746413128	1.746413128	0	0.003066917112	0.003066917112	0	0
J4 row 3	4	3	21	true	0.2292113581	4	outgoing	false	false	1.104954401	1.104954401	0	0.004001227309	0.004001227309	0	0
J4 row 3	4	3	21	true	0.2292113581	7	outgoing	false	false	1.38924159	1.38924159	-9.845457782e-13	0.007265733469	0.007265733469	5.578783963e-14	6.634946854e-11
J4 row 3	4	3	21	true	0.2292113581	9	incoming	false	false	1.432782793	1.432782793	0	0.007858884076	0.007858884076	3.086073064e-15	1.027900998e-13
J4 row 3	4	3	21	true	0.2292113581	14	incoming	false	false	1.307745982	1.323953971	-0.01620798818	0.01462098435	0.01754216678	-0.002921182429	0.05963172757
J4 row 3	4	3	21	true	0.2292113581	15	outgoing	false	true	1.642083079	1.718532667	-0.07644958793	0.00780263815	0.02341900781	-0.01561636966	0.338527915
J4 row 3	4	3	21	true	0.2292113581	17	internal	false	false	2.070376407	2.070376407	0	0.09355436363	0.09355436363	0	0
J4 row 3	4	3	21	true	0.2292113581	21	internal	true	false	1.220621584	1.229300708	-0.008679123567	0.01577777346	0.01909021558	-0.003312442112	0.05064127082
J4 row 3	4	3	21	true	0.2292113581	24	internal	false	true	1.188725865	1.218210351	-0.02948448621	0.01569990493	0.02150181145	-0.005801906516	0.1710060184
J4 row 4	4	4	23	false	0.2365386967	2	incoming	false	false	1.746413128	1.746413128	0	0.003066917112	0.003066917112	0	0
J4 row 4	4	4	23	false	0.2365386967	4	outgoing	false	false	1.104954401	1.104954401	0	0.004001227309	0.004001227309	0	0
J4 row 4	4	4	23	false	0.2365386967	7	outgoing	false	false	1.38924159	1.38924159	-5.881961584e-13	0.007265733469	0.007265733469	5.624146981e-14	4.161347694e-11
J4 row 4	4	4	23	false	0.2365386967	9	incoming	false	false	1.432782793	1.432782793	3.330669074e-15	0.007858884076	0.007858884076	-1.866198168e-13	6.051988643e-12
J4 row 4	4	4	23	false	0.2365386967	14	incoming	false	false	1.307745982	1.274094563	0.033651419	0.01462098435	0.002059557985	0.01256142636	0.2048647353
J4 row 4	4	4	23	false	0.2365386967	15	outgoing	false	true	1.642083079	1.644325545	-0.002242465412	0.00780263815	0.02235261291	-0.01454997476	0.4445103416
J4 row 4	4	4	23	false	0.2365386967	17	internal	false	false	2.070376407	2.070376407	0	0.09355436363	0.09355436363	0	0
J4 row 4	4	4	23	false	0.2365386967	21	internal	false	false	1.220621584	1.20204574	0.01857584423	0.01577777346	0.003615487786	0.01216228568	0.1880189397
J4 row 4	4	4	23	false	0.2365386967	24	internal	false	true	1.188725865	1.238177802	-0.04945193758	0.01569990493	0.0299875675	-0.01428766258	0.481146234
