road_id,cell_id,n_cells,cell_fraction_center,truth_density,mean_density,abs_error
714,6,8,0.6875,0.2435214474,0.2435214474,0
714,7,8,0.8125,0.240067253,0.240067253,0
714,8,8,0.9375,0.2404467756,0.2404467756,0
715,1,8,0.0625,0.2843867046,0.2843867046,0
715,2,8,0.1875,0.318331617,0.318331617,0
715,3,8,0.3125,0.3383265074,0.3383265074,0
715,4,8,0.4375,0.3412182297,0.3412182297,0
715,5,8,0.5625,0.3331521823,0.3331521823,0
715,6,8,0.6875,0.3193157301,0.3193157301,0
715,7,8,0.8125,0.3025327644,0.3025327644,0
715,8,8,0.9375,0.2842702047,0.2842702047,0
716,1,12,0.04166666667,0.2830482822,0.2830482822,0
716,2,12,0.125,0.2822007048,0.2822007048,0
716,3,12,0.2083333333,0.2824483115,0.2824483115,0
716,4,12,0.2916666667,0.2869697389,0.2869697389,0
716,5,12,0.375,0.3034235435,0.3034235435,0
716,6,12,0.4583333333,0.344544805,0.344544805,0
716,7,12,0.5416666667,0.4144584167,0.4144584167,0
716,8,12,0.625,0.4812253989,0.4812253989,0
716,9,12,0.7083333333,0.5043681973,0.5043681973,0
716,10,12,0.7916666667,0.5205733275,0.5205733275,0
716,11,12,0.875,0.5477444588,0.5477444588,0
716,12,12,0.9583333333,0.5531132818,0.5531132818,0
717,1,12,0.04166666667,0.5847599355,0.5847599355,0
717,2,12,0.125,0.6012058772,0.6012058772,0
717,3,12,0.2083333333,0.6106153273,0.6106153273,0
717,4,12,0.2916666667,0.6122776806,0.6122776806,0
717,5,12,0.375,0.6085854736,0.6085854736,0
717,6,12,0.4583333333,0.6015696432,0.6015696432,0
717,7,12,0.5416666667,0.5924621224,0.5924621224,0
717,8,12,0.625,0.5819504107,0.5819504107,0
717,9,12,0.7083333333,0.5703714433,0.5703714433,0
717,10,12,0.7916666667,0.5577878537,0.5577878537,0
717,11,12,0.875,0.5439619602,0.5439619602,0
717,12,12,0.9583333333,0.5280730984,0.5280730984,0
718,1,16,0.03125,0.1326688867,0.1326688867,0
718,2,16,0.09375,0.1323317698,0.1323317698,0
718,3,16,0.15625,0.1321143259,0.1321143259,0
718,4,16,0.21875,0.1321932918,0.1321932918,0
718,5,16,0.28125,0.1328863307,0.1328863307,0
718,6,16,0.34375,0.1346534035,0.1346534035,0
718,7,16,0.40625,0.1380515454,0.1380515454,0
718,8,16,0.46875,0.143666691,0.143666691,0
718,9,16,0.53125,0.1520390335,0.1520390335,0
718,10,16,0.59375,0.1635372603,0.1635372603,0
718,11,16,0.65625,0.1780794236,0.1780794236,0
718,12,16,0.71875,0.1946986116,0.1946986116,0
718,13,16,0.78125,0.2113020564,0.2113020564,0
718,14,16,0.84375,0.2251803561,0.2251803561,0
718,15,16,0.90625,0.2341973225,0.2341973225,0
718,16,16,0.96875,0.2376642472,0.2376642472,0
719,1,5,0.1,0.1329258701,0.1329258701,0
719,2,5,0.3,0.1328041229,0.1328041229,0
719,3,5,0.5,0.1326834447,0.1326834447,0
719,4,5,0.7,0.1325641398,0.1325641398,0
719,5,5,0.9,0.132446532,0.132446532,0
720,1,16,0.03125,0.1933773436,0.1933773436,0
720,2,16,0.09375,0.1941838519,0.1941838519,0
720,3,16,0.15625,0.1974450978,0.1974450978,0
720,4,16,0.21875,0.207655454,0.207655454,0
720,5,16,0.28125,0.2322010795,0.2322010795,0
720,6,16,0.34375,0.2760783818,0.2760783818,0
720,7,16,0.40625,0.3292223578,0.3292223578,0
720,8,16,0.46875,0.3690374635,0.3690374635,0
720,9,16,0.53125,0.3873181393,0.3873181393,0
720,10,16,0.59375,0.3919629215,0.3919629215,0
720,11,16,0.65625,0.3903140671,0.3903140671,0
720,12,16,0.71875,0.3857076284,0.3857076284,0
720,13,16,0.78125,0.3796550161,0.3796550161,0
720,14,16,0.84375,0.3730684906,0.3730684906,0
720,15,16,0.90625,0.3666556105,0.3666556105,0
